,artwork , Location , Appraised Value 
,,,
1,"Christopher Wool                                              Untitled, 2008                                                           Ink on paper                                                             72 x 55 1/4 inches",Crozier New York," $600,000 "
2,"Robert Longo                                                        After De Kooning (Woman and Bicycle 1952-53), 2014                                                           Charcoal on mounted paper                                                             90 x 57.625 inches",Crozier New York," $350,000 "
3,"Albert Oehlen                                                                F, 2009                                                                       Oil and paper on canvas                                                             82 11/16 x 106 5/16 inches",Crozier New York," $600,000 "
4,"Fauso Melotti                                                                Le colombe dal viso di fanciulla, 1979                                                           Brass, cellophane and plaster                                                             52 3/8 x 32 2/4 x 24 7/8 inches",Crozier New York," $385,000 "
5,"Mary Heilmann                                              Whitewater Geometry, 2015                                                          Acrylic on canvas                                                             30 x 30 1/2 inches",Crozier New York," $90,000 "
6,"Vincenzo Agnetti                                              Oggi io e te abbiamo detto di no (Today You and I Said No), 1970                                                                Felt on board                                                             30 1/8 x 45 3/8 inches",Crozier New York," $190,000 "
7,"Dana Schutz                                                         Singer Songwriter, 2013                                                 Oil on canvas                                                             77 x 90 inches",Crozier New York," $250,000 "
8,"John Chamberlain                                                    Broke Purple, 1976                                                 Painted and chromium-plated steel                      36 x 27 x 19 1/2 inches",Crozier New York," $800,000 "
9,"Wade Guyton                                                       Untitled, 2017                                                         Epson UltraChrome HDR inkjet on linen                            84 x 69 inches",Crozier New York," $500,000 "
10,"Mary Heilmann                                                            Big Crack Up, 1999-2008                                                          Oil on canvas                                                             75 x 60.25 inches",Crozier New York," $225,000 "
11,"Agnes Martin                                                                   Untitled #12, 1996                                                            Acrylic and graphite on canvas                                       60 1/8 x 60 1/8 inches",Crozier New York," $3,500,000 "
12,"David Smith                                                                             Untitled, 1953                                                                         Egg ink on paper                                                                      18 x 24 inches",Crozier New York," $80,000 "
13,"Joris Laarman
Microstructures (Aluminum Chair), 2014
Aluminum
28.35 x 24.41 x 23.62 inches
Edition of 12
",Friedman Benda (NYC)              On Consignment," $200,000 "
14,"Paul Cocksedge
Poised, 2013
Rolled steel
29.33 x 61.81 x 57.87 inches
Edition of 10 + 2 AP
",Friedman Benda (NYC)              On Consignment," $90,000 "
15,"Johnny Swing
Nest, 2012
Welded half dollars
28 x 62 x 50 inches
Edition 1 of 10 + 1 AP
",Crozier New York," $90,000 "
,,,
,Total,," $7,950,000 "
,,,
,,,
, Max LTV ,,44.0%
, Gross Proceeds Limit ,," $3,497,028 "
,,,
, Actual Proceeds ,," $3,596,000 "
, LTV ,,45.2%
